0.0,0.0
0.0,0.0
0.0,0.0
0.0007,0.0
0.0013,0.0
0.002,0.0
0.0026,0.0
0.0036,0.0
0.0046,0.0
0.0056,0.0
0.0066,0.0
0.0076,0.0
0.0086,-0.0
0.0095,-0.0
0.0105,-0.0
0.0114,-0.0
0.0124,-0.0
0.0133,-0.0
0.0142,-0.0
0.0151,-0.0001
0.016,-0.0001
0.017,-0.0001
0.0179,-0.0001
0.0188,-0.0001
0.0198,-0.0001
0.0207,-0.0002
0.0216,-0.0002
0.0226,-0.0002
0.0236,-0.0002
0.0246,-0.0003
0.0256,-0.0003
0.0267,-0.0003
0.0277,-0.0003
0.0288,-0.0004
0.0298,-0.0004
0.0309,-0.0004
0.0319,-0.0004
0.0329,-0.0005
0.034,-0.0005
0.035,-0.0005
0.036,-0.0006
0.0371,-0.0006
0.0382,-0.0006
0.0392,-0.0006
0.0402,-0.0007
0.0411,-0.0007
0.042,-0.0007
0.0428,-0.0007
0.0435,-0.0007
0.0442,-0.0008
0.045,-0.0008
0.0456,-0.0008
0.0462,-0.0008
0.0467,-0.0008
0.0473,-0.0008
0.048,-0.0008
0.0486,-0.0008
0.0492,-0.0008
0.0498,-0.0008
0.0503,-0.0008
0.051,-0.0008
0.0516,-0.0008
0.0522,-0.0008
0.0528,-0.0008
0.0534,-0.0007
0.054,-0.0007
0.0547,-0.0007
0.0553,-0.0007
0.0561,-0.0006
0.0568,-0.0006
0.0575,-0.0006
0.0583,-0.0006
0.059,-0.0005
0.0598,-0.0005
0.0605,-0.0005
0.0613,-0.0004
0.0621,-0.0004
0.0628,-0.0003
0.0636,-0.0003
0.0643,-0.0003
0.0651,-0.0002
0.0658,-0.0002
0.0665,-0.0001
0.0673,-0.0001
0.068,-0.0
0.0687,0.0
0.0695,0.0001
0.0702,0.0001
0.071,0.0002
0.0718,0.0002
0.0725,0.0003
0.0733,0.0004
0.074,0.0004
0.0748,0.0005
0.0756,0.0005
0.0766,0.0006
0.0775,0.0007
0.0785,0.0008
0.0795,0.0009
0.0805,0.001
0.0815,0.0011
0.0824,0.0011
0.0833,0.0012
0.0843,0.0013
0.0852,0.0014
0.0861,0.0014
0.087,0.0015
0.088,0.0016
0.0889,0.0016
0.0898,0.0017
0.0908,0.0018
0.0917,0.0018
0.0926,0.0019
0.0935,0.002
0.0944,0.002
0.0953,0.0021
0.0961,0.0021
0.097,0.0022
0.0979,0.0022
